fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,2.1185925765273197,4.7118918055375705,1.433151154474292,9.90388184573618,9.90388184573618,0.4422914382244706,0.729074098504646,1,3.282629693201476,1,0.9867530467820025,1,26810.377540026566,1,2.704384805396578,1,0.9169025826729249,1,65.70990232073518,1,0.9989839463523674,1
10,2.6390573296152584,3.367295829986474,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-1.9423846596717498,4.939046922878445,0.2133712655359028,0.390859659396772,0.4987159946951818,-0.3148973825923642,0.6791314500822475,1,2.5805999078552637,1,0.6683404814178906,1,9775.534463097041,1,2.8191364214973667,1,0.8433304404333044,1,65.56833715569766,1,0.9957325746799431,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,2.1185925765273197,4.4633600878687005,1.4633464844662087,8.885696373339394,8.885696373339394,0.5033588219253996,0.7329234124906122,1,2.8330316422640243,1,0.5884469987305617,1,20605.022551764738,1,2.703012525948141,1,0.9029128000210809,1,48.73055198167366,1,0.9955293639504167,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,35.5295903399999,33.8886643499999,4.032087451640165,-1.1924218391670918,2.1185925765273197,3.9157917378587923,1.5461992827517541,3.873657180281966,3.873657180281966,0.5254331911044049,0.6737989531996288,1,1.8083526734419288,1,0.7917906086457307,1,7222.4762219391105,1,1.7741251294015115,1,0.8073969920208538,1,37.58888960009971,1,0.9941068888437311,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,2.1185925765273197,3.4927470185424085,1.3526164861885424,3.322941055308622,4.664337463663974,0.4431764782167604,0.6503953663634673,1,1.5726197047891888,1,0.6457766174394605,1,4383.884167516402,1,1.3544753090821038,1,0.7902140117899081,1,22.075272077318832,1,0.9896362527941475,1
1750,1.0986122886681098,0.6931471805599453,4.959426206689514,35.5086712,33.88883598,5.715133645007413,-1.1924218391670918,2.1185925765273197,2.1908751641109925,0.8677708195016465,7.154939594045725,4.514264274889933,0.3706986937003766,0.633892118543406,1,1.5286901469475014,1,0.7685312128919486,1,2964.1196843988478,1,0.9973494093659081,1,0.8022298684504915,1,10.192444353041335,1,0.9863848811217232,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.732387328275803,1.732387328275803,0.5843854734643307,4.570402210259985,4.570402210259985,0.3195689149240735,0.6134341387568144,1,1.8429513273587086,1,2.1034107940380857,1,1940.6729296033507,1,2.6636834364852517,1,0.8195032107432654,1,2.0356445960089964,0,0.9794757163178216,1
1002,1.0986122886681098,0.6931471805599453,4.820386398819521,35.5139740899999,33.8947290899999,6.07251836443936,-1.1924218391670918,1.9835180793974398,1.9835180793974398,0.7938035110849037,6.954347552745531,4.387704787704005,0.3266384653544916,0.6223905457124895,1,1.4528256191321598,1,0.7676593905365956,1,2860.9075553626517,1,0.6121708877823879,1,0.7817792517719468,1,3.7328980341961238,1,0.9778500304816095,1
1517,1.0986122886681098,1.0986122886681098,5.375278407684165,35.5291301899999,33.8892338,4.243104137227407,-1.1924218391670918,2.1185925765273197,3.2977828495606873,1.2668268875428923,4.892789260714372,4.892789260714372,0.49930251721601215,0.6489786487187454,1,1.4301540290168389,1,0.31253787546055656,1,4150.841148497702,1,1.0989885119832739,1,0.7893605946246006,1,10.22998467711254,1,0.9778500304816095,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,35.52780458,33.9012114,6.399216420106812,-1.9043027771337224,-1.9423846596717498,2.0955341854907514,0.14505202540468784,1.3391373849195853,1.3391373849195853,-0.30353476615803043,0.6173181598905916,1,1.5797569222008936,1,0.41302455860973003,1,331.8684380942389,0,0.7685132856313137,1,0.6548354586264235,1,26.97828849864387,1,0.9697216013005487,1
