fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155146,4.949107535734471,1.625279018247219,6.270248868157708,9.93810932621924,0.7764070609151131,0.7140117752077683,1,2.049838241328307,1,1036.392122346594,1,0.4853487392623954,1,24.55820640511597,1,0.9989772727272725,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,33.90059403,35.5308217899999,5.723878169971074,-0.4228999466420856,3.290718847155146,4.02127999033468,1.1920739609994475,9.843921051289035,9.843921051289035,0.5749107072926705,0.696774108649483,1,2.347810948304318,1,930.0127088971115,1,0.023229273635918757,1,23.988486779757988,1,0.9979545454545453,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,33.8882689599999,35.5288938799999,4.141766950355076,-1.1924218391670918,3.290718847155146,4.896384912745443,1.663933770214046,6.273028226734327,6.273028226734327,0.7945205238727956,0.6720953775214348,1,1.6806303171112078,1,804.9035182787641,1,0.07723912011489809,1,21.206343452133545,1,0.9968181818181817,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155146,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6386669204841188,0.6865202382470924,1,1.5734576718030935,1,432.0674350367724,1,0.16977705753037742,1,18.36723680900246,1,0.994772727272727,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.290718847155146,3.3987296401191323,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6942640177909393,0.6536371040671366,1,1.6352686687419493,1,474.1209649946411,1,0.027068449574933595,1,16.627268913696316,1,0.9940909090909091,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155146,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002586,0.6636408611858845,1,1.6871310189801776,1,482.6767725635636,1,9.513127187843473e-05,1,19.935139639676198,1,0.9929545454545454,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,3.290718847155146,4.709236108025244,1.433151154474292,9.90388184573618,9.90388184573618,0.6869922928203241,0.6700754620923886,1,2.3699804288854054,1,1088.9019823701954,1,-0.00012974856668401813,0,21.127625635293075,1,0.9927272727272728,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-2.0261758895281363,4.90107992982009,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32848152970482664,0.6080207741531111,1,2.461549566832539,1,347.75692515893905,1,0.5704292736967054,1,14.052043257421664,1,0.9926136363636363,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,33.89096948,35.49012638,4.935594204931416,-1.1924218391670918,3.290718847155146,4.699736735949524,1.3973382018991465,9.949826710759112,9.949826710759112,0.6667320509994953,0.6531908393963675,1,2.4032691475357395,1,1076.9190523583352,1,-0.00010665362340089857,0,18.910376941008884,1,0.9922727272727272,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.6187324027322928,1,1.5323632579439335,1,242.71857144298724,1,0.35963724183617685,1,15.992674313605432,1,0.990340909090909,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,3.290718847155146,4.465139959549509,1.4633464844662087,8.885696373339394,8.885696373339394,0.78184563683633,0.6392823176017629,1,2.123958319008859,1,929.8306919741516,1,-0.00024619957455840336,0,17.296293239195148,1,0.9898863636363636,1
